日付,場所,Ｒ,枠番,馬番,馬名,確定着順,レースID(新),単勝配当,複勝配当,枠連,馬連,馬単,３連複,３連単
260517,新潟,12,8,10,スーパーバイザー,1,202605170401061210,480,170,2720,2730,5130,4770,31350
260517,新潟,12,7,9,ティピティーナ,2,202605170401061209,(13.3),390,2720,2730,5130,4770,31350
260517,新潟,12,6,7,エルムラント,3,202605170401061207,(5.9),200,,,,4770,31350
260517,新潟,12,1,1,ワンウェイトゥヘル,4,202605170401061201,(7.1),,,,,,
260517,新潟,12,4,4,シルフレイ,5,202605170401061204,(3.4),,,,,,
260517,新潟,12,5,5,ジーティームッシュ,6,202605170401061205,(7.1),,,,,,
260517,新潟,12,2,2,ビアフォーナウ,7,202605170401061202,(49.0),,,,,,
260517,新潟,12,7,8,ブルーリヴァーサル,8,202605170401061208,(217.0),,,,,,
260517,新潟,12,6,6,ユーウェイン,9,202605170401061206,(57.1),,,,,,
260517,新潟,12,3,3,バシリス,10,202605170401061203,(5.3),,,,,,
260517,新潟,12,8,11,コンストラクション,11,202605170401061211,(185.0),,,,,,
260517,新潟,11,3,6,エストゥペンダ,1,202605170401061106,210,130,2060,5110,7140,28870,112980
260517,新潟,11,8,15,ガジュノリ,2,202605170401061115,(40.9),640,2060,5110,7140,28870,112980
260517,新潟,11,7,13,タイキラフター,3,202605170401061113,(31.4),520,,,,28870,112980
260517,新潟,11,5,10,ドラゴンヘッド,4,202605170401061110,(108.4),,,,,,
260517,新潟,11,8,16,ミラビリスマジック,5,202605170401061116,(16.9),,,,,,
260517,新潟,11,5,9,ワイドアラジン,6,202605170401061109,(85.4),,,,,,
260517,新潟,11,4,8,バッデレイト,7,202605170401061108,(12.7),,,,,,
260517,新潟,11,2,3,ミナデオロ,8,202605170401061103,(5.8),,,,,,
260517,新潟,11,6,12,ピンキープロミス,9,202605170401061112,(69.8),,,,,,
260517,新潟,11,6,11,モズロックンロール,10,202605170401061111,(11.1),,,,,,
260517,新潟,11,3,5,ルクスビッグスター,11,202605170401061105,(158.0),,,,,,
260517,新潟,11,1,2,キントリヒ,12,202605170401061102,(135.1),,,,,,
260517,新潟,11,7,14,ミエスペランサ,13,202605170401061114,(15.4),,,,,,
260517,新潟,11,4,7,マイエレメント,14,202605170401061107,(9.0),,,,,,
260517,新潟,11,1,1,エレクトリックブギ,15,202605170401061101,(97.2),,,,,,
260517,新潟,11,2,4,ピックアチェリー,0,202605170401061104,(11.5),,,,,,
260517,新潟,10,7,14,マリアイリダータ,1,202605170401061014,250,130,1790,2490,3090,3410,14720
260517,新潟,10,2,4,ホウオウシンデレラ,2,202605170401061004,(22.3),360,1790,2490,3090,3410,14720
260517,新潟,10,1,1,コンフォルツァ,3,202605170401061001,(7.2),180,,,,3410,14720
260517,新潟,10,5,9,クロシェットノエル,4,202605170401061009,(7.0),,,,,,
260517,新潟,10,8,16,ズイウンゴサイ,5,202605170401061016,(18.4),,,,,,
260517,新潟,10,5,10,ジェットブレード,6,202605170401061010,(48.7),,,,,,
260517,新潟,10,4,7,ワザモノ,7,202605170401061007,(53.5),,,,,,
260517,新潟,10,4,8,ハイディージェン,8,202605170401061008,(204.9),,,,,,
260517,新潟,10,3,6,バンフィエルド,9,202605170401061006,(202.2),,,,,,
260517,新潟,10,6,11,ホウオウレイヴン,10,202605170401061011,(35.6),,,,,,
260517,新潟,10,2,3,コスモアバンサ,11,202605170401061003,(108.3),,,,,,
260517,新潟,10,8,15,パッションリッチ,12,202605170401061015,(4.7),,,,,,
260517,新潟,10,3,5,フルレゾン,13,202605170401061005,(20.0),,,,,,
260517,新潟,10,1,2,バードウォッチャー,14,202605170401061002,(38.6),,,,,,
260517,新潟,10,6,12,ジャンビ,15,202605170401061012,(27.8),,,,,,
260517,新潟,10,7,13,タッチアンドムーブ,0,202605170401061013,(14.6),,,,,,
260517,新潟,9,4,7,ラヴェンデル,1,202605170401060907,5980,1200,24710,36880,65380,111430,1385520
260517,新潟,9,4,8,ブラックティンカー,2,202605170401060908,(12.8),360,24710,36880,65380,111430,1385520
