レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040701,2026.9.21,月,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,,,14,09:45,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アドアプローズ,,牡,5,9,7,18,小倉,S,2860,稍,6,11,障害未勝利,13.7,中団,2,7,4,小倉,S,2860,重,7,10,障害未勝利,13.8,後方,5,5,28,浦和,D,1400,良,5,9,マルチ,----,中団,11,3,14,中京,D,1200,良,9,13,１勝ｸﾗｽ,35.7,後方,4,2,14,小倉,S,2860,良,9,10,障害未勝利,14.0,後方,9
2,B,2,,,,,カルマンフィルター,,牡,5,23,4,12,中山,S,2880,良,9,6,障害未勝利,13.9,中団,3,3,22,中山,S,2880,良,4,4,障害未勝利,13.5,差し,28,9,6,中山,S,2880,稍,3,2,障害未勝利,13.7,先行,22,4,6,中山,S,2880,良,5,3,障害未勝利,13.8,先行,4,3,9,中山,S,2880,稍,4,3,障害未勝利,13.8,先行,8
3,,3,,,,,コトブキヘスペラス,,牡,6,8,7,26,新潟,S,2850,不,8,14,障害未勝利,13.3,中団,7,6,7,阪神,S,2970,良,10,13,障害未勝利,13.9,中団,2,5,23,新潟,S,2890,稍,10,14,障害未勝利,13.6,後方,8,3,29,阪神,S,2970,良,12,12,障害未勝利,14.5,後方,19,11,16,福島,D,1700,良,9,13,１勝ｸﾗｽ,39.0,中団,22
3,,4,,,,,テンプーシャオン,,牡,6,12,6,27,福島,T,1200,良,10,10,１勝ｸﾗｽ,35.4,先行,10,4,18,福島,T,1200,良,7,12,１勝ｸﾗｽ,34.5,中団,11,2,4,川崎,D,1600,良,3,13,フェブ,----,差し,12,11,9,福島,T,1200,良,12,10,１勝ｸﾗｽ,35.5,後方,17,7,13,福島,T,1200,良,12,5,１勝ｸﾗｽ,35.7,中団,2
4,,5,,,,,ゴーツウキリシマ,,牝,6,9,7,16,佐賀,D,1400,良,3,2,霧島賞,----,逃げ,2,7,4,小倉,S,2860,重,6,3,障害未勝利,13.8,先行,15,3,22,中山,S,2880,良,7,5,障害未勝利,13.5,中団,3,2,28,小倉,S,2860,稍,4,2,障害未勝利,14.0,先行,6,1,17,中山,S,2880,良,3,4,障害未勝利,13.6,先行,4
4,B,6,,,,,シュハリ,,牡,6,12,6,28,福島,S,2750,良,6,10,障害未勝利,13.1,先行,18,2,21,小倉,S,2860,良,止,9,障害未勝利,----,,6,1,12,中山,S,2880,良,8,10,障害未勝利,13.8,中団,5,12,7,中山,S,2880,良,7,7,障害未勝利,14.0,先行,8,10,12,京都,S,2910,良,6,10,障害未勝利,13.8,先行,4
5,,7,,,,,アルシミスト,,セ,5,13,6,21,東京,S,3000,稍,8,11,障害未勝利,13.9,先行,11,4,4,中山,S,2880,良,12,11,障害未勝利,14.3,後方,13,1,5,中山,D,1200,稍,13,7,１勝ｸﾗｽ,38.3,逃げ,10,10,25,東京,D,1400,稍,13,12,１勝ｸﾗｽ,37.4,中団,18,6,21,東京,D,1600,良,11,11,１勝ｸﾗｽ,37.2,中団,11
5,B,8,,,,,バンデルオーラ,,牡,7,8,7,26,新潟,S,2850,不,10,7,障害未勝利,13.4,中団,9,5,23,新潟,S,2890,稍,9,6,障害未勝利,13.5,中団,18,1,18,中山,D,1200,良,13,14,ジャニュ,37.6,後方,10,11,9,福島,T,1200,良,9,4,みちのく,34.8,中団,5,10,4,京都,T,1200,重,7,15,オパーＨ(L),34.2,先行,12
6,B,9,,,,,アバットゥータ,,牡,4,7,8,1,中京,S,3000,良,9,1,障害未勝利,14.4,後方,4,7,4,小倉,S,2860,重,5,1,障害未勝利,13.8,中団,10,4,26,京都,S,2910,良,2,3,障害未勝利,13.8,先行,3,4,4,中山,S,2880,良,2,7,障害未勝利,13.8,先行,8,2,7,小倉,S,2860,稍,5,3,障害未勝利,14.0,中団,4
6,,10,,,,,ブランフォルテ,,牡,4,9,7,19,小倉,S,2860,良,2,4,障害未勝利,13.4,先行,3,6,28,福島,S,2750,良,9,8,障害未勝利,13.1,中団,7,5,10,新潟,S,2890,良,5,8,障害未勝利,13.4,中団,12,2,14,小倉,S,2860,良,11,8,障害未勝利,14.5,後方,26,8,16,新潟,T,2400,良,9,14,未勝利,35.9,中団,3
7,,11,,,,,ロイガヴェーグル,,牡,6,16,5,30,東京,S,3000,良,9,7,障害未勝利,14.3,後方,3,5,10,新潟,S,2890,良,止,5,障害未勝利,----,,11,2,22,阪神,D,1400,良,12,13,２勝ｸﾗｽ,36.4,後方,4,1,25,小倉,D,1700,良,10,9,響灘特別･2勝,37.5,中団,8,11,29,京都,D,1800,良,8,6,栂尾特Ｈ･2勝,36.8,先行,10
7,,12,,,,,ニシノブレイゼスト,,牡,4,8,7,26,新潟,S,2850,不,11,11,障害未勝利,13.5,後方,16,4,4,中山,D,1800,重,11,8,千葉日報･2勝,38.0,中団,4,3,8,中山,D,1800,稍,11,4,２勝ｸﾗｽ,41.1,中団,8,1,10,中山,D,1800,良,1,1,１勝ｸﾗｽ,38.3,先行,2,12,27,中山,D,1800,稍,4,3,１勝ｸﾗｽ,39.0,先行,3
