レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040701,2026.9.22,火,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,不(暫定),雨(暫定),14,09:45,,定量,３上
2,,3,アイファーエリース,牝,2,14,63.8, ,  0,,55,,,松岡正海,(美),蛯名利弘,アイファーソング,タニノギムレット,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,コスモグリュー,牝,2,13,58.5, ,  0,,55,,,柴田大知,(美),田島俊明,ベンバトル,トーセンホマレボシ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,ナツハゼ,牝,2,10,22.9, ,  0,,52,▲,,遠藤汰月,(美),武市康男,インディチャンプ,バトルプラン,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,ナイトオブマース,牝,2,1,3.0, ,  0,,55,,,横山武史,(美),林徹,サートゥルナーリア,"Colonel John",,マンノウォー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ジェイエルターボ,牝,2,7,16.6, ,  0,,55,,,菊沢一樹,(美),鈴木慎太,エフフォーリア,ヨハネスブルグ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,リネンエトワール,牝,2,5,8.5, ,  0,,55,,,横山典弘,(美),平岩大典,イスラボニータ,パラダイスクリーク,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,コールオンユー,牝,2,11,26.4, ,  0,,55,,,木幡巧也,(美),牧光二,"Saxon Warrior","Sea The Stars",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,ロックドダイアリー,牝,2,3,7.2, ,  0,,55,,,田辺裕信,(美),久保田貴,エピファネイア,"City Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,アマンドショコラ,牝,2,12,36.6, ,  0,,55,,,江田照男,(美),田中剛,デクラレーションオブウォー,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,フェスタベラ,牝,2,9,21.5, ,  0,,55,,,杉原誠人,(美),木村哲也,サートゥルナーリア,"Awesome Patriot",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ポテ,牝,2,6,16.2, ,  0,,55,,,内田博幸,(美),尾形和幸,サリオス,Congrats,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,ステラストリーム,牝,2,15,69.0, ,  0,,53,△,,石田拓郎,(美),尾形和幸,アジアエクスプレス,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,セレネリオン,牝,2,8,16.6, ,  0,,55,,,佐々木大,(美),浅利英明,リアルスティール,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040706,2026.9.22,火,中山,4中7,6,,新馬,芝,2000,C,4,不(暫定),雨(暫定),18,12:40,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ネオロマーネ,牡,2,5,7.4, ,  0,,55,,,横山武史,(美),松尾卓哉,リーチザクラウン,ノヴェリスト,ロイヤルチャージャー系,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,シンヒダカムーン,牡,2,7,18.9, ,  0,,55,,,佐々木大,(美),上原佑紀,ダノンスマッシュ,"Duke of Marmalade",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,ヤマメゴリュウ,牡,2,3,5.6, ,  0,,53,◇,,小林美駒,(美),久保田貴,リアルスティール,サクラプレジデント,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,パッションノーヴァ,牡,2,6,16.8, ,  0,,55,,,武藤雅,(美),武藤善則,キセキ,ディープブリランテ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,テンポアニマート,牡,2,1,2.8, ,  0,,55,,,丸山元気,(美),手塚貴久,フィエールマン,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,メダルボーイ,牡,2,2,3.3, ,  0,,55,,,田辺裕信,(美),蛯名正義,キタサンブラック,キングヘイロー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,ゴクラクチョウカ,牝,2,8,47.8, ,  0,,55,,,柴田大知,(美),和田雄二,チュウワウィザード,スズカマンボ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,スリーボンド,牝,2,4,6.7, ,  0,,55,,,横山和生,(栗),橋田宜長,キズナ,ストリートセンス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092206040707,2026.9.22,火,中山,4中7,7,,1勝,ダート,1800,,4,不(暫定),雨(暫定),16,13:10,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サムシングニュー,牡,3,2,7.4, ,112,2,55,,*,ミシェル,(美),鹿戸雄一,エイシンフラッシュ,タートルボウル,,ニアークティック系,7,19,2福8,3,１勝ｸﾗｽ,ダ,1700,良,,石神,53.0,△,5,9.5,3,0.8,2,4,4,5,5,36.60,39.2,7,エアトベーレ
2,,2,ブレスドナイル,牝,4,7,23.7, ,102,6,56,,*,佐々木大,(美),金成貴史,"Gun Runner","Pioneerof the Nile",,ネイティヴダンサー系,8,22,3名1,4,瀬戸特別･1勝,ダ,1900,良,,今村,56.0,,7,27.2,3,1.2,8,7,8,8,7,38.58,38.0,1,サイモンゼスト
3,B,3,タケルムサシ,牡,3,3,8.7, ,110,4,55,,*,斎藤新,(美),斎藤誠,ルヴァンスレーヴ,ダイワメジャー,,ロイヤルチャージャー系,9,6,4中2,8,１勝ｸﾗｽ,ダ,1800,不,B,団野,55.0,,7,14.3,5,1.4,2,12,10,10,6,37.65,38.3,3,メディチパワー
3,,4,ビリオネアボーイ,牡,4,9,28.1, , 97,7,58,,*,木幡巧也,(美),武市康男,"American Pharoah",Speightstown,,ネイティヴダンサー系,8,29,3新3,8,１勝ｸﾗｽ,芝,1400,稍,,丸田,58.0,,12,127.9,14,1.5,16,,,6,8,35.03,36.3,14,ライネリーベ
4,,5,ペルヴォルム,牝,3,13,62.7,>, 61,14,50,▲,*,上里直汰,(美),加藤和宏,ダノンキングリー,Shackleford,,,8,1,1札3,23,未勝利,ダ,1000,稍,,遠藤,52.0,▲,12,448.7,12,3.4,12,,,10,12,36.90,37.8,12,ドリームガッサン
4,,6,メトロポリターナ,牝,5,12,61.0, , 92,10,56,,,丸田恭介,(美),粕谷昌央,Masar,Shamardal,,ニアークティック系,9,6,4中2,6,１勝ｸﾗｽ,ダ,1800,不,,丸田,56.0,,15,213.0,10,1.9,9,14,14,14,13,37.85,38.4,5,メディチパワー
5,,7,ユアフェリシティ,牡,3,1,1.8, ,121,1,55,,,原田和真,(美),千葉直人,ルヴァンスレーヴ,エリシオ,,ニアークティック系,9,12,4中3,16,１勝ｸﾗｽ,ダ,1800,重,,原田,55.0,,1,2.4,2,0.7,3,5,5,3,3,36.60,38.5,5,インナーパッション
5,,8,ホーナー,牡,3,10,33.1, , 86,11,55,,*,菊沢一樹,(美),栗田徹,Improbable,"Pure Prize",,ニアークティック系,5,23,2東9,14,１勝ｸﾗｽ*,ダ,1600,重,B,長浜,56.0,☆,12,181.8,13,2.6,14,,,12,12,37.38,36.7,12,ファイアマン
